"pantalla","resolución","tipo","etiqueta accesible","texto visible","placeholder","deshabilitado","origen del texto","captura"
"selector-modelo","1280×720","button","Cerrar selector","","","no","src/client/components/ModelPickerDialog.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-selector-modelo.png"
"selector-modelo","1280×720","button","Ámbar BoxAntes MICROBOX · Estructura y tela","Ámbar BoxAntes MICROBOX · Estructura y tela","","no","src/client/components/ModelPickerDialog.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-selector-modelo.png"
"selector-modelo","1280×720","button","Ágata BoxAntes MODULBOX · Estructura y tela","Ágata BoxAntes MODULBOX · Estructura y tela","","no","src/client/components/ModelPickerDialog.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-selector-modelo.png"
"selector-modelo","1280×720","button","Cuarzo BoxAntes STORBOX 250 · Estructura y tela","Cuarzo BoxAntes STORBOX 250 · Estructura y tela","","no","src/client/components/ModelPickerDialog.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-selector-modelo.png"
"selector-modelo","1280×720","button","Perla BoxAntes STORBOX S-300 · Estructura y tela","Perla BoxAntes STORBOX S-300 · Estructura y tela","","no","src/client/components/ModelPickerDialog.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-selector-modelo.png"
"selector-modelo","1280×720","button","Coral BoxAntes STORBOX 400 · Estructura y tela","Coral BoxAntes STORBOX 400 · Estructura y tela","","no","src/client/components/ModelPickerDialog.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-selector-modelo.png"
"selector-modelo","1280×720","button","CortinaEstructura y tela","CortinaEstructura y tela","","no","src/client/components/ModelPickerDialog.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-selector-modelo.png"
"selector-modelo","1280×720","button","ElectraAntes ELIT VERTICAL · Estructura y tela","ElectraAntes ELIT VERTICAL · Estructura y tela","","no","src/client/components/ModelPickerDialog.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-selector-modelo.png"
"selector-modelo","1280×720","button","IrisEstructura y tela","IrisEstructura y tela","","no","src/client/components/ModelPickerDialog.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-selector-modelo.png"
"selector-modelo","1280×720","button","SelenaEstructura y tela","SelenaEstructura y tela","","no","src/client/components/ModelPickerDialog.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-selector-modelo.png"
"selector-modelo","1280×720","button","HERAAntes ROLL-SYSTEM · Estructura y tela","HERAAntes ROLL-SYSTEM · Estructura y tela","","no","src/client/components/ModelPickerDialog.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-selector-modelo.png"
"selector-modelo","1280×720","button","Diana verticalAntes MAXISSCREEN · Estructura y tela","Diana verticalAntes MAXISSCREEN · Estructura y tela","","no","src/client/components/ModelPickerDialog.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-selector-modelo.png"
"selector-modelo","1280×720","button","Arzúa ProAntes ART 325 / ARZUA · Estructura y tela","Arzúa ProAntes ART 325 / ARZUA · Estructura y tela","","no","src/client/components/ModelPickerDialog.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-selector-modelo.png"
"selector-modelo","1280×720","button","GaliciaEstructura y tela","GaliciaEstructura y tela","","no","src/client/components/ModelPickerDialog.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-selector-modelo.png"
"selector-modelo","1280×720","button","XacobeoAntes ART 250 / XACOBEO · Estructura y tela","XacobeoAntes ART 250 / XACOBEO · Estructura y tela","","no","src/client/components/ModelPickerDialog.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-selector-modelo.png"
"selector-modelo","1280×720","button","Monoblock 350Antes ARZUA MONOBLOC · Estructura y tela","Monoblock 350Antes ARZUA MONOBLOC · Estructura y tela","","no","src/client/components/ModelPickerDialog.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-selector-modelo.png"
"selector-modelo","1280×720","button","Punto RectoEstructura y tela","Punto RectoEstructura y tela","","no","src/client/components/ModelPickerDialog.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-selector-modelo.png"
"selector-modelo","1280×720","button","AnticaEstructura y tela","AnticaEstructura y tela","","no","src/client/components/ModelPickerDialog.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-selector-modelo.png"
"tarjeta-ARZUA PRO-vacia","1280×720","button","Pedido","Pedido","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","button","Parámetros","Parámetros","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","button","Revisión","Revisión","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","button","Configuración","Configuración","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","button","Limpiar","Limpiar","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","button","Vista previa","Vista previa","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","button","Guardar para revisión","Guardar para revisión","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","input","Pedido","","AR26xxxxx","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","input","Cliente","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","input","Fecha","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","combobox","Técnico","Sin asignar","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","combobox","Revisión","Sin asignar","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","button","Obtener datos del pedido","Obtener datos del pedido","","sí","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","combobox","Referencia","","Código, color o nombre aproximado…","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","input","Por toldo","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","button","Añadir toldoElegir modelo","Añadir toldoElegir modelo","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","button","Añadir trabajo de telaCambio, cortina, enrollable, bamba o Antica","Añadir trabajo de telaCambio, cortina, enrollable, bamba o Antica","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","button","Modificar reglas del modelo","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","button","Duplicar","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","button","Eliminar","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","input","OF","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","input","Frente","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","combobox","Salida","Elegir…","","no","src/client/components/AwningColumn.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","input","Bamba (cm)","","","no","src/client/components/AwningColumn.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","combobox","Dibujo de confección","Automático","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","button","Normales","Normales","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","button","Cruzados","Cruzados","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","button","2","2","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","button","3","3","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","button","Evo 80","Evo 80","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","button","Univers 280","Univers 280","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","combobox","Lacado","Elegir…","","no","src/client/components/AwningColumn.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","button","No","No","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","button","Sí","Sí","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","combobox","Dispositivo","Elegir…","","no","src/client/components/AwningColumn.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
