"pantalla","resolución","tipo","etiqueta accesible","texto visible","placeholder","deshabilitado","origen del texto","captura"
"tarjeta-CAMBIO TELA-rellena","1280×720","input","Bamba (cm)","","","no","src/client/components/AwningColumn.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-tela-rellena.png"
"tarjeta-CAMBIO TELA-rellena","1280×720","combobox","Dibujo de confección","Automático","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-tela-rellena.png"
"tarjeta-CAMBIO TELA-rellena","1280×720","button","No","No","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-tela-rellena.png"
"tarjeta-CAMBIO TELA-rellena","1280×720","button","Sí","Sí","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-tela-rellena.png"
"tarjeta-CAMBIO TELA-rellena","1280×720","button","Añadir línea","Añadir línea","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-tela-rellena.png"
"tarjeta-CAMBIO TELA-rellena","1280×720","input","Observaciones de tela del pedido, línea 1","","Escribe una observación","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-tela-rellena.png"
"tarjeta-CAMBIO TELA-rellena","1280×720","button","Eliminar observaciones de tela del pedido, línea 1","","","sí","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-tela-rellena.png"
"tarjeta-CAMBIO TELA-rellena","1280×720","tab","Estructuras0","Estructuras0","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-tela-rellena.png"
"tarjeta-CAMBIO TELA-rellena","1280×720","tab","Telas1","Telas1","","no","src/client/components/AwningColumn.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-tela-rellena.png"
"tarjeta-CAMBIO TELA-rellena","1280×720","tab","Reserva RPS1","Reserva RPS1","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-tela-rellena.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","button","Pedido","Pedido","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","button","Parámetros","Parámetros","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","button","Revisión","Revisión","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","button","Configuración","Configuración","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","button","Limpiar","Limpiar","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","button","Vista previa","Vista previa","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","button","Guardar para revisión","Guardar para revisión","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","input","Pedido","","AR26xxxxx","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","input","Cliente","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","input","Fecha","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","combobox","Técnico","Sin asignar","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","combobox","Revisión","Sin asignar","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","button","Obtener datos del pedido","Obtener datos del pedido","","sí","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","combobox","Referencia","","Código, color o nombre aproximado…","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","input","Por toldo","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","button","Añadir toldoElegir modelo","Añadir toldoElegir modelo","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","button","Añadir trabajo de telaCambio, cortina, enrollable, bamba o Antica","Añadir trabajo de telaCambio, cortina, enrollable, bamba o Antica","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","button","Modificar reglas del modelo","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","button","Duplicar","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","button","Eliminar","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","input","OF","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","input","Frente","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","input","Salida","","","no","src/client/components/AwningColumn.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","input","Bamba (cm)","","","no","src/client/components/AwningColumn.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","button","No","No","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","button","Sí","Sí","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","button","Sin ventana","Sin ventana","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","button","Con ventana","Con ventana","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","button","Varilla","Varilla","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","button","Remachado · bastilla","Remachado · bastilla","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","button","Añadir línea","Añadir línea","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","input","Observaciones de tela del pedido, línea 1","","Escribe una observación","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","button","Eliminar observaciones de tela del pedido, línea 1","","","sí","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","tab","Estructuras0","Estructuras0","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","tab","Telas0","Telas0","","no","src/client/components/AwningColumn.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-vacia","1280×720","tab","Reserva RPS0","Reserva RPS0","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-vacia.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","button","Pedido","Pedido","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","button","Parámetros","Parámetros","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","button","Revisión","Revisión","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","button","Configuración","Configuración","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","button","Limpiar","Limpiar","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","button","Vista previa","Vista previa","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","button","Guardar para revisión","Guardar para revisión","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","input","Pedido","","AR26xxxxx","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","input","Cliente","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","input","Fecha","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","combobox","Técnico","Sin asignar","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","combobox","Revisión","Sin asignar","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","button","Obtener datos del pedido","Obtener datos del pedido","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","combobox","Referencia","","Código, color o nombre aproximado…","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","button","Borrar referencia","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","input","Por toldo","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","button","Añadir toldoElegir modelo","Añadir toldoElegir modelo","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","button","Añadir trabajo de telaCambio, cortina, enrollable, bamba o Antica","Añadir trabajo de telaCambio, cortina, enrollable, bamba o Antica","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","button","Modificar reglas del modelo","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","button","Duplicar","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","button","Eliminar","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","input","OF","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","input","Frente","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","input","Salida","","","no","src/client/components/AwningColumn.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","input","Bamba (cm)","","","no","src/client/components/AwningColumn.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","button","No","No","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","button","Sí","Sí","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","button","Sin ventana","Sin ventana","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","button","Con ventana","Con ventana","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","button","Varilla","Varilla","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","button","Remachado · bastilla","Remachado · bastilla","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","button","Añadir línea","Añadir línea","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","input","Observaciones de tela del pedido, línea 1","","Escribe una observación","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","button","Eliminar observaciones de tela del pedido, línea 1","","","sí","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","tab","Estructuras0","Estructuras0","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","tab","Telas1","Telas1","","no","src/client/components/AwningColumn.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO CORTINA-rellena","1280×720","tab","Reserva RPS0","Reserva RPS0","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-cortina-rellena.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","button","Pedido","Pedido","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","button","Parámetros","Parámetros","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","button","Revisión","Revisión","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","button","Configuración","Configuración","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","button","Limpiar","Limpiar","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","button","Vista previa","Vista previa","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","button","Guardar para revisión","Guardar para revisión","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","input","Pedido","","AR26xxxxx","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","input","Cliente","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","input","Fecha","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","combobox","Técnico","Sin asignar","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","combobox","Revisión","Sin asignar","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","button","Obtener datos del pedido","Obtener datos del pedido","","sí","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","combobox","Referencia","","Código, color o nombre aproximado…","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","input","Por toldo","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","button","Añadir toldoElegir modelo","Añadir toldoElegir modelo","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","button","Añadir trabajo de telaCambio, cortina, enrollable, bamba o Antica","Añadir trabajo de telaCambio, cortina, enrollable, bamba o Antica","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","button","Modificar reglas del modelo","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","button","Duplicar","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","button","Eliminar","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","input","OF","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","input","Frente","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","input","Salida","","","no","src/client/components/AwningColumn.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","input","Bamba (cm)","","","no","src/client/components/AwningColumn.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","combobox","Configuración Antica","Elegir configuración…","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","button","No","No","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","button","Sí","Sí","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","button","Añadir línea","Añadir línea","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","input","Observaciones de tela del pedido, línea 1","","Escribe una observación","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","button","Eliminar observaciones de tela del pedido, línea 1","","","sí","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","tab","Estructuras0","Estructuras0","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","tab","Telas0","Telas0","","no","src/client/components/AwningColumn.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-vacia","1280×720","tab","Reserva RPS0","Reserva RPS0","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-vacia.png"
"tarjeta-CAMBIO ANTICA-rellena","1280×720","button","Pedido","Pedido","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-rellena.png"
"tarjeta-CAMBIO ANTICA-rellena","1280×720","button","Parámetros","Parámetros","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-rellena.png"
"tarjeta-CAMBIO ANTICA-rellena","1280×720","button","Revisión","Revisión","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-rellena.png"
"tarjeta-CAMBIO ANTICA-rellena","1280×720","button","Configuración","Configuración","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-rellena.png"
"tarjeta-CAMBIO ANTICA-rellena","1280×720","button","Limpiar","Limpiar","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-rellena.png"
"tarjeta-CAMBIO ANTICA-rellena","1280×720","button","Vista previa","Vista previa","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-rellena.png"
"tarjeta-CAMBIO ANTICA-rellena","1280×720","button","Guardar para revisión","Guardar para revisión","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-rellena.png"
"tarjeta-CAMBIO ANTICA-rellena","1280×720","input","Pedido","","AR26xxxxx","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-rellena.png"
"tarjeta-CAMBIO ANTICA-rellena","1280×720","input","Cliente","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-cambio-antica-rellena.png"
